id,week,month,monthofyear,year
20170413,2017W15,201704,04,2017
20170414,2017W15,201704,04,2017
20170415,2017W15,201704,04,2017
20170416,2017W15,201704,04,2017
20170417,2017W16,201704,04,2017
20170418,2017W16,201704,04,2017
20170419,2017W16,201704,04,2017
20170420,2017W16,201704,04,2017
20170421,2017W16,201704,04,2017
20170422,2017W16,201704,04,2017
20170423,2017W16,201704,04,2017
20170424,2017W17,201704,04,2017
20170425,2017W17,201704,04,2017
20170426,2017W17,201704,04,2017
20170427,2017W17,201704,04,2017
20170428,2017W17,201704,04,2017
20170429,2017W17,201704,04,2017
20170430,2017W17,201704,04,2017
20170501,2017W18,201705,05,2017
20170502,2017W18,201705,05,2017
20170503,2017W18,201705,05,2017
20170504,2017W18,201705,05,2017
20170505,2017W18,201705,05,2017
20170506,2017W18,201705,05,2017
20170507,2017W18,201705,05,2017
20170508,2017W19,201705,05,2017
20170509,2017W19,201705,05,2017
20170510,2017W19,201705,05,2017
20170511,2017W19,201705,05,2017
20170512,2017W19,201705,05,2017
20170513,2017W19,201705,05,2017
20170514,2017W19,201705,05,2017
20170515,2017W20,201705,05,2017
20170516,2017W20,201705,05,2017
20170517,2017W20,201705,05,2017
20170518,2017W20,201705,05,2017
20170519,2017W20,201705,05,2017
20170520,2017W20,201705,05,2017
20170521,2017W20,201705,05,2017
20170522,2017W21,201705,05,2017
20170523,2017W21,201705,05,2017
20170524,2017W21,201705,05,2017
20170525,2017W21,201705,05,2017
20170526,2017W21,201705,05,2017
20170527,2017W21,201705,05,2017
20170528,2017W21,201705,05,2017
20170529,2017W22,201705,05,2017
20170530,2017W22,201705,05,2017
20170531,2017W22,201705,05,2017
20170601,2017W22,201706,06,2017
20170602,2017W22,201706,06,2017
20170603,2017W22,201706,06,2017
20170604,2017W22,201706,06,2017
20170605,2017W23,201706,06,2017
20170606,2017W23,201706,06,2017
20170607,2017W23,201706,06,2017
20170608,2017W23,201706,06,2017
20170609,2017W23,201706,06,2017
20170610,2017W23,201706,06,2017
20170611,2017W23,201706,06,2017
20170612,2017W24,201706,06,2017
20170613,2017W24,201706,06,2017
20170614,2017W24,201706,06,2017
20170615,2017W24,201706,06,2017
20170616,2017W24,201706,06,2017
20170617,2017W24,201706,06,2017
20170618,2017W24,201706,06,2017
20170619,2017W25,201706,06,2017
20170620,2017W25,201706,06,2017
20170621,2017W25,201706,06,2017
20170622,2017W25,201706,06,2017
20170623,2017W25,201706,06,2017
20170624,2017W25,201706,06,2017
20170625,2017W25,201706,06,2017
20170626,2017W26,201706,06,2017
20170627,2017W26,201706,06,2017
20170628,2017W26,201706,06,2017
20170629,2017W26,201706,06,2017
20170630,2017W26,201706,06,2017
20170701,2017W26,201707,07,2017
20170702,2017W26,201707,07,2017
20170703,2017W27,201707,07,2017
20170704,2017W27,201707,07,2017
20170705,2017W27,201707,07,2017
20170706,2017W27,201707,07,2017
20170707,2017W27,201707,07,2017
20170708,2017W27,201707,07,2017
20170709,2017W27,201707,07,2017
20170710,2017W28,201707,07,2017
20170711,2017W28,201707,07,2017
20170712,2017W28,201707,07,2017
20170713,2017W28,201707,07,2017
20170714,2017W28,201707,07,2017
20170715,2017W28,201707,07,2017
20170716,2017W28,201707,07,2017
20170717,2017W29,201707,07,2017
20170718,2017W29,201707,07,2017
20170719,2017W29,201707,07,2017
20170720,2017W29,201707,07,2017
20170721,2017W29,201707,07,2017
20170722,2017W29,201707,07,2017
20170723,2017W29,201707,07,2017
20170724,2017W30,201707,07,2017
20170725,2017W30,201707,07,2017
20170726,2017W30,201707,07,2017
20170727,2017W30,201707,07,2017
20170728,2017W30,201707,07,2017
20170729,2017W30,201707,07,2017
20170730,2017W30,201707,07,2017
20170731,2017W31,201707,07,2017
20170801,2017W31,201708,08,2017
20170802,2017W31,201708,08,2017
20170803,2017W31,201708,08,2017
20170804,2017W31,201708,08,2017
20170805,2017W31,201708,08,2017
20170806,2017W31,201708,08,2017
20170807,2017W32,201708,08,2017
20170808,2017W32,201708,08,2017
20170809,2017W32,201708,08,2017
20170810,2017W32,201708,08,2017
20170811,2017W32,201708,08,2017
20170812,2017W32,201708,08,2017
20170813,2017W32,201708,08,2017
20170814,2017W33,201708,08,2017
20170815,2017W33,201708,08,2017
20170816,2017W33,201708,08,2017
20170817,2017W33,201708,08,2017
20170818,2017W33,201708,08,2017
20170819,2017W33,201708,08,2017
20170820,2017W33,201708,08,2017
20170821,2017W34,201708,08,2017
20170822,2017W34,201708,08,2017
20170823,2017W34,201708,08,2017
20170824,2017W34,201708,08,2017
20170825,2017W34,201708,08,2017
20170826,2017W34,201708,08,2017
20170827,2017W34,201708,08,2017
20170828,2017W35,201708,08,2017
20170829,2017W35,201708,08,2017
20170830,2017W35,201708,08,2017
20170831,2017W35,201708,08,2017
20170901,2017W35,201709,09,2017
20170902,2017W35,201709,09,2017
20170903,2017W35,201709,09,2017
