id,dateofsemiday,time
20160903N,20160903,N
20160904D,20160904,D
20160904N,20160904,N
20160905D,20160905,D
20160905N,20160905,N
20160906D,20160906,D
20160906N,20160906,N
20160907D,20160907,D
20160907N,20160907,N
20160908D,20160908,D
20160908N,20160908,N
20160909D,20160909,D
20160909N,20160909,N
20160910D,20160910,D
20160910N,20160910,N
20160911D,20160911,D
20160911N,20160911,N
20160912D,20160912,D
20160912N,20160912,N
20160913D,20160913,D
20160913N,20160913,N
20160914D,20160914,D
20160914N,20160914,N
20160915D,20160915,D
20160915N,20160915,N
20160916D,20160916,D
20160916N,20160916,N
20160917D,20160917,D
20160917N,20160917,N
20160918D,20160918,D
20160918N,20160918,N
20160919D,20160919,D
20160919N,20160919,N
20160920D,20160920,D
20160920N,20160920,N
20160921D,20160921,D
20160921N,20160921,N
20160922D,20160922,D
20160922N,20160922,N
20160923D,20160923,D
20160923N,20160923,N
20160924D,20160924,D
20160924N,20160924,N
20160925D,20160925,D
20160925N,20160925,N
20160926D,20160926,D
20160926N,20160926,N
20160927D,20160927,D
20160927N,20160927,N
20160928D,20160928,D
20160928N,20160928,N
20160929D,20160929,D
20160929N,20160929,N
20160930D,20160930,D
20160930N,20160930,N
20161001D,20161001,D
20161001N,20161001,N
20161002D,20161002,D
20161002N,20161002,N
20161003D,20161003,D
20161003N,20161003,N
20161004D,20161004,D
20161004N,20161004,N
20161005D,20161005,D
20161005N,20161005,N
20161006D,20161006,D
20161006N,20161006,N
20161007D,20161007,D
20161007N,20161007,N
20161008D,20161008,D
20161008N,20161008,N
20161009D,20161009,D
20161009N,20161009,N
20161010D,20161010,D
20161010N,20161010,N
20161011D,20161011,D
20161011N,20161011,N
20161012D,20161012,D
20161012N,20161012,N
20161013D,20161013,D
20161013N,20161013,N
20161014D,20161014,D
20161014N,20161014,N
20161015D,20161015,D
20161015N,20161015,N
20161016D,20161016,D
20161016N,20161016,N
20161017D,20161017,D
20161017N,20161017,N
20161018D,20161018,D
20161018N,20161018,N
20161019D,20161019,D
20161019N,20161019,N
20161020D,20161020,D
20161020N,20161020,N
20161021D,20161021,D
20161021N,20161021,N
20161022D,20161022,D
20161022N,20161022,N
20161023D,20161023,D
20161023N,20161023,N
20161024D,20161024,D
20161024N,20161024,N
20161025D,20161025,D
20161025N,20161025,N
20161026D,20161026,D
20161026N,20161026,N
20161027D,20161027,D
20161027N,20161027,N
20161028D,20161028,D
20161028N,20161028,N
20161029D,20161029,D
20161029N,20161029,N
20161030D,20161030,D
20161030N,20161030,N
20161031D,20161031,D
20161031N,20161031,N
20161101D,20161101,D
20161101N,20161101,N
20161102D,20161102,D
20161102N,20161102,N
20161103D,20161103,D
20161103N,20161103,N
20161104D,20161104,D
20161104N,20161104,N
20161105D,20161105,D
20161105N,20161105,N
20161106D,20161106,D
20161106N,20161106,N
20161107D,20161107,D
20161107N,20161107,N
20161108D,20161108,D
20161108N,20161108,N
20161109D,20161109,D
20161109N,20161109,N
20161110D,20161110,D
20161110N,20161110,N
20161111D,20161111,D
20161111N,20161111,N
20161112D,20161112,D
20161112N,20161112,N
20161113D,20161113,D
20161113N,20161113,N
20161114D,20161114,D
20161114N,20161114,N
20161115D,20161115,D
20161115N,20161115,N
20161116D,20161116,D
20161116N,20161116,N
20161117D,20161117,D
20161117N,20161117,N
20161118D,20161118,D
20161118N,20161118,N
20161119D,20161119,D
20161119N,20161119,N
20161120D,20161120,D
20161120N,20161120,N
20161121D,20161121,D
20161121N,20161121,N
20161122D,20161122,D
20161122N,20161122,N
20161123D,20161123,D
20161123N,20161123,N
20161124D,20161124,D
20161124N,20161124,N
20161125D,20161125,D
20161125N,20161125,N
20161126D,20161126,D
20161126N,20161126,N
20161127D,20161127,D
20161127N,20161127,N
20161128D,20161128,D
20161128N,20161128,N
20161129D,20161129,D
20161129N,20161129,N
20161130D,20161130,D
20161130N,20161130,N
20161201D,20161201,D
20161201N,20161201,N
20161202D,20161202,D
20161202N,20161202,N
20161203D,20161203,D
20161203N,20161203,N
